Time,Reference,Target
0,63.33,63.33
0.02,62.92,62.92
0.04,62.52,62.52
0.06,62.58,62.58
0.08,62.59,62.59
0.1,62.33,62.33
0.12,62.03,62.03
0.14,61.39,61.39
0.16,60.93,60.93
0.18,59.94,59.94
0.2,59.43,59.43
0.22,58.8,58.8
0.24,58.72,58.72
0.26,58.2,58.2
0.28,58.12,58.12
0.3,58.38,58.38
0.32,58.49,58.49
0.34,58.66,58.66
0.36,58.92,58.92
0.38,59.2,59.2
0.4,59.52,59.52
0.42,59.77,59.77
0.44,60.03,60.03
0.46,60.15,60.15
0.48,59.96,59.96
0.5,60.19,60.19
0.52,60.12,
0.54,60.12,
0.56,60.4,
0.58,60.46,
0.6,60.33,
0.62,59.93,59.93
0.64,59.42,59.42
0.66,58.33,58.33
0.68,57.17,57.17
0.7,55.85,55.85
0.72,54.14,54.14
0.74,52.64,52.64
0.76,50.98,50.98
0.78,49.32,49.32
0.8,47.68,47.68
0.82,46.4,46.4
0.84,45.11,45.11
0.86,44.22,44.22
0.88,43.53,43.53
0.9,43.01,43.01
0.92,42.35,42.35
0.94,42.66,42.66
0.96,42.96,42.96
0.98,43.33,43.33
1,44.18,44.18
1.02,44.63,44.63
1.04,44.95,44.95
1.06,45.56,45.56
1.08,46.57,46.57
1.1,47.87,47.87
1.12,49.31,49.31
1.14,50.87,
1.16,52.32,
1.18,53.64,
1.2,53.99,53.99
1.22,52.99,52.99
1.24,51.26,51.26
1.26,49.35,49.35
1.28,48.21,48.21
1.3,45.75,45.75
1.32,44.09,44.09
1.34,42.59,42.59
1.36,41.48,41.48
1.38,40.09,40.09
1.4,38.12,38.12
1.42,35.81,35.81
1.44,33.72,33.72
1.46,31.82,31.82
1.48,30.36,30.36
1.5,28.09,28.09
1.52,26.83,26.83
1.54,25.81,25.81
1.56,24.53,24.53
1.58,22.69,22.69
1.6,21.5,
1.62,21.59,21.59
1.64,23.66,23.66
1.66,24.28,24.28
1.68,24.74,24.74
1.7,25.66,
1.72,26.52,26.52
1.74,26.87,26.87
1.76,27.54,27.54
1.78,28.83,
1.8,29.73,29.73
1.82,31,31
1.84,31.36,31.36
1.86,30.64,30.64
1.88,28.85,28.85
1.9,27.4,27.4
1.92,25.89,25.89
1.94,23.96,
1.96,21.92,
1.98,20.35,20.35
2,18.58,18.58
2.02,17.13,17.13
2.04,15.77,15.77
2.06,14.21,14.21
2.08,12.8,12.8
2.1,11.57,11.57
2.12,10.55,10.55
2.14,9.3,9.3
2.16,8.18,8.18
2.18,6.59,6.59
2.2,5.45,5.45
2.22,4.73,4.73
2.24,3.48,3.48
2.26,0,0
2.28,0,0
2.3,0,
2.32,0,
2.34,0,0
2.36,0,0
2.38,0,0
2.4,0,0
2.42,3.07,3.07
2.44,3.41,3.41
2.46,2.95,2.95
2.48,0,0
2.5,2.9,2.9
2.52,2.87,2.87
2.54,0,0
2.56,0,0
2.58,0,0
2.6,0,0
2.62,0,0
2.64,0,0
2.66,0,0
2.68,0,0
2.7,0,0
2.72,0,
2.74,0,0
2.76,0,0
2.78,0,0
2.8,0,0
2.82,0,0
2.84,0,0
2.86,0,0
2.88,0,0
2.9,0,0
2.92,0,0
2.94,0,0
2.96,0,0
2.98,0,0
3,0,0
3.02,0,0
3.04,0,0
3.06,0,0
3.08,0,0
3.1,0,0
3.12,0,0
3.14,0,0
3.16,0,0
3.18,0,0
3.2,0,0
3.22,0,0
3.24,0,
3.26,0,0
3.28,0,0
3.3,0,0
3.32,0,0
3.34,0,0
3.36,3.36,3.36
3.38,4.43,4.43
3.4,5.21,5.21
3.42,5.98,5.98
3.44,6.27,6.27
3.46,6.78,6.78
3.48,7.77,7.77
3.5,8.67,8.67
3.52,9.19,9.19
3.54,9.11,9.11
3.56,9.23,9.23
3.58,9.59,9.59
3.6,9.95,
3.62,10.67,
3.64,11.6,
3.66,12.03,
3.68,12.53,
3.7,12.84,12.84
3.72,13.06,13.06
3.74,13.38,13.38
3.76,13.71,13.71
3.78,13.77,13.77
3.8,13.89,13.89
3.82,14.56,14.56
3.84,15.27,15.27
3.86,15.62,15.62
3.88,15.91,15.91
3.9,16.06,
3.92,16.32,
3.94,16.39,16.39
3.96,16.17,16.17
3.98,15.82,15.82
4,15.63,15.63
4.02,15.66,15.66
4.04,15.73,15.73
4.06,15.51,15.51
4.08,15.16,15.16
4.1,15.27,15.27
4.12,15.91,15.91
4.14,17.01,17.01
4.16,18.05,18.05
4.18,18.69,18.69
4.2,19.54,19.54
4.22,20.22,20.22
4.24,20.58,
4.26,21.13,21.13
4.28,21.6,21.6
4.3,22.26,22.26
4.32,22.84,22.84
4.34,23.43,23.43
4.36,23.45,23.45
4.38,23.59,23.59
4.4,23.7,23.7
4.42,23.93,23.93
4.44,24.78,24.78
4.46,25.1,25.1
4.48,25.44,25.44
4.5,26.58,26.58
4.52,27.39,27.39
4.54,28.3,28.3
4.56,29.39,29.39
4.58,30.31,30.31
4.6,30.81,30.81
4.62,31.17,31.17
4.64,31.47,31.47
4.66,31.06,31.06
4.68,30.11,30.11
4.7,29.84,29.84
4.72,30.09,30.09
4.74,30,30
4.76,29.94,29.94
4.78,30.14,30.14
4.8,30.33,30.33
4.82,29.94,
4.84,29.73,
4.86,29.57,
4.88,29.59,
4.9,28.07,
4.92,27.39,
4.94,26.58,
4.96,26,
4.98,25.67,
5,25.6,
5.02,25.3,25.3
5.04,24.53,24.53
5.06,23.87,23.87
5.08,23.07,
5.1,22.62,
5.12,22.19,
5.14,21.76,21.76
5.16,21.17,21.17
5.18,20.19,20.19
5.2,18.94,18.94
5.22,17.66,17.66
5.24,16.86,16.86
5.26,16.46,16.46
5.28,16.23,16.23
5.3,16.11,16.11
5.32,16.09,16.09
5.34,15.98,15.98
5.36,15.85,15.85
5.38,15.82,15.82
5.4,16.07,16.07
5.42,16.62,16.62
5.44,17.36,17.36
5.46,18.32,18.32
5.48,19.35,19.35
5.5,20.15,20.15
5.52,21.11,21.11
5.54,21.89,21.89
5.56,22.44,22.44
5.58,21.32,21.32
5.6,19.6,19.6
5.62,18.38,18.38
5.64,17.19,17.19
5.66,16.05,16.05
5.68,15.01,15.01
5.7,14.31,14.31
5.72,13.79,13.79
5.74,13.11,13.11
5.76,12.29,12.29
5.78,11.28,11.28
5.8,11.13,11.13
5.82,11.94,11.94
5.84,12.87,12.87
5.86,13.75,13.75
5.88,14.72,14.72
5.9,15.71,15.71
5.92,16.27,16.27
5.94,16.55,16.55
5.96,16.61,16.61
5.98,16.41,16.41
6,15.91,
6.02,15.43,15.43
6.04,15.27,15.27
6.06,15.5,15.5
6.08,15.79,15.79
6.1,16.12,16.12
6.12,16.52,16.52
6.14,16.92,16.92
6.16,17.34,17.34
6.18,17.63,17.63
6.2,18.28,18.28
6.22,19.18,19.18
6.24,20.12,20.12
6.26,21.06,21.06
6.28,22.17,22.17
6.3,23.31,23.31
6.32,24.14,24.14
